cancer,morbidity,cancer_size,morbid_size,pre_diag,post_diag,total,pre_diag_perc,post_diag_perc,total_perc
Biliary tract,Barretts_oesophagus,44,134,0,0,0,0.0,0.0,0.0
Biliary tract,Bipolar_affective_disorder_and_mania,44,354,3,0,3,0.06818181818181818,0.0,0.06818181818181818
Biliary tract,Blistering_autoimmune_skin_conditions,44,59,0,0,0,0.0,0.0,0.0
Biliary tract,Bronchiectasis,44,410,2,1,3,0.045454545454545456,0.022727272727272728,0.06818181818181818
Biliary tract,COPD,44,1288,4,0,4,0.09090909090909091,0.0,0.09090909090909091
Biliary tract,Cardiac_conduction_defects,44,998,5,2,7,0.11363636363636363,0.045454545454545456,0.1590909090909091
Biliary tract,Cardiomyopathy_other,44,268,0,0,0,0.0,0.0,0.0
Biliary tract,Cardiovascular_disease,44,7983,23,6,29,0.5227272727272727,0.13636363636363635,0.6590909090909091
Biliary tract,Cerebral_Palsy,44,34,0,0,0,0.0,0.0,0.0
Biliary tract,Cerebrovascular_disease,44,1426,5,2,7,0.11363636363636363,0.045454545454545456,0.1590909090909091
Biliary tract,Cervical_dysplasia,44,366,2,0,2,0.045454545454545456,0.0,0.045454545454545456
Biliary tract,Cholelithiasis,44,2997,16,3,19,0.36363636363636365,0.06818181818181818,0.4318181818181818
Biliary tract,Chronic_Kidney_Disease,44,3200,9,0,9,0.20454545454545456,0.0,0.20454545454545456
Biliary tract,Chronic_fatigue,44,2439,3,0,3,0.06818181818181818,0.0,0.06818181818181818
Biliary tract,Chronic_sinusitis,44,8816,10,3,13,0.22727272727272727,0.06818181818181818,0.29545454545454547
Biliary tract,Chronic_ulcer_of_the_skin,44,1106,3,1,4,0.06818181818181818,0.022727272727272728,0.09090909090909091
Biliary tract,Chronic_viral_hepatitis,44,901,3,1,4,0.06818181818181818,0.022727272727272728,0.09090909090909091
Biliary tract,Coeliac_disease,44,188,0,0,0,0.0,0.0,0.0
Biliary tract,Collapsed_vertebra,44,93,0,0,0,0.0,0.0,0.0
Biliary tract,Congenital_cardiac_disease,44,547,0,1,1,0.0,0.022727272727272728,0.022727272727272728
Biliary tract,Constipation,44,11767,21,5,26,0.4772727272727273,0.11363636363636363,0.5909090909090909
Biliary tract,Coronary_heart_disease,44,5036,17,2,19,0.38636363636363635,0.045454545454545456,0.4318181818181818
Biliary tract,Crohns_disease,44,391,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Cystic_Fibrosis,44,18,0,0,0,0.0,0.0,0.0
Biliary tract,Cystic_renal_disease,44,84,0,0,0,0.0,0.0,0.0
Biliary tract,Dementia,44,553,0,1,1,0.0,0.022727272727272728,0.022727272727272728
Biliary tract,Depression,44,11875,15,1,16,0.3409090909090909,0.022727272727272728,0.36363636363636365
Biliary tract,Dermatitis_atopc_contact_other_unspecified,44,14912,20,1,21,0.45454545454545453,0.022727272727272728,0.4772727272727273
Biliary tract,Diabetic_eye_disease,44,5952,14,2,16,0.3181818181818182,0.045454545454545456,0.36363636363636365
Biliary tract,Diabetic_neurological_complications,44,647,2,1,3,0.045454545454545456,0.022727272727272728,0.06818181818181818
Biliary tract,Disorders_of_autonomic_nervous_system,44,225,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Diverticular_disease_of_intestine,44,1158,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Downs_syndrome,44,6,0,0,0,0.0,0.0,0.0
Biliary tract,Dysmenorrhoea,44,2558,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Eating_disorders,44,948,0,1,1,0.0,0.022727272727272728,0.022727272727272728
Biliary tract,End_stage_renal_disease,44,382,2,0,2,0.045454545454545456,0.0,0.045454545454545456
Biliary tract,Endometriosis,44,1484,2,0,2,0.045454545454545456,0.0,0.045454545454545456
Biliary tract,Enteropathic_arthropathy,44,25,0,1,1,0.0,0.022727272727272728,0.022727272727272728
Biliary tract,Enthesopathies__synovial_disorders,44,11841,26,0,26,0.5909090909090909,0.0,0.5909090909090909
Biliary tract,Epilepsy,44,626,0,0,0,0.0,0.0,0.0
Biliary tract,Erectile_dysfunction,44,4115,8,0,8,0.18181818181818182,0.0,0.18181818181818182
Biliary tract,Female_genital_prolapse,44,1591,4,0,4,0.09090909090909091,0.0,0.09090909090909091
Biliary tract,Female_infertility,44,2087,0,0,0,0.0,0.0,0.0
Biliary tract,Fibromyalgia,44,1183,3,0,3,0.06818181818181818,0.0,0.06818181818181818
Biliary tract,Folate_deficiency_with_and_without_anaemia,44,3544,1,1,2,0.022727272727272728,0.022727272727272728,0.045454545454545456
Biliary tract,Fracture_of_hip,44,109,0,0,0,0.0,0.0,0.0
